timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662922687281,122,object_info_1,200,OK,HW_1 1-2,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,122,0,60
1662922687334,109,get_method,200,OK,HW_1 1-3,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,109,0,53
1662922687316,129,user_info_2,200,OK,HW_1 1-1,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,129,0,64
1662922687367,110,object_info_2,200,OK,HW_1 1-4,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,110,0,54
1662922687389,116,get_method,200,OK,HW_1 1-5,text,true,,168,147,5,5,http://162.55.220.72:5005/get_method?name=Ivan&age=32,116,0,57
1662922687404,109,object_info_2,200,OK,HW_1 1-2,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,109,0,54
1662922687443,116,user_info_2,200,OK,HW_1 1-3,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,116,0,58
1662922687445,123,user_info_3,200,OK,HW_1 1-1,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,123,0,61
1662922687477,117,object_info_3,200,OK,HW_1 1-4,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,117,0,57
1662922687514,109,object_info_3,200,OK,HW_1 1-2,text,true,,525,163,5,5,http://162.55.220.72:5005/object_info_3?name=Frank&age=27&salary=1200,109,0,53
1662922687505,141,user_info_2,200,OK,HW_1 1-5,text,true,,463,244,5,5,http://162.55.220.72:5005/user_info_2,141,0,69
1662922687559,133,user_info_3,200,OK,HW_1 1-3,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,133,0,65
1662922687568,155,object_info_1,200,OK,HW_1 1-1,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,154,0,76
1662922687594,157,object_info_4,200,OK,HW_1 1-4,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,157,0,77
1662922687624,130,object_info_4,200,OK,HW_1 1-2,text,true,,235,161,5,5,http://162.55.220.72:5005/object_info_4?name=Jon&age=30&salary=1500,129,0,64
1662922687647,131,user_info_3,200,OK,HW_1 1-5,text,true,,368,243,5,5,http://162.55.220.72:5005/user_info_3,131,0,61
1662922687692,108,object_info_1,200,OK,HW_1 1-3,text,true,,231,163,5,5,http://162.55.220.72:5005/object_info_1?name=Kolya&age=31&weight=1300,108,0,53
1662922687723,128,object_info_2,200,OK,HW_1 1-1,text,true,,453,160,5,5,http://162.55.220.72:5005/object_info_2?name=Alex&age=30&salary=40,128,0,63
